  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00          359.83333332            0.00000000        8204.79256816           -0.05586080         8204.73670736 
  5.0000e-15          359.83333332            0.00000000        8204.79256816           -0.05586081         8204.73670736 
  1.0000e-14          359.83333333            0.00000000        8204.79256836           -0.05586120         8204.73670716 
  1.5000e-14          359.83333335            0.00000000        8204.79256875           -0.05586198         8204.73670677 
  2.0000e-14          359.83333338            0.00000000        8204.79256933           -0.05586315         8204.73670619 
  2.5000e-14          359.83333341            0.00000000        8204.79257011           -0.05586470         8204.73670541 
  3.0000e-14          359.83333345            0.00000000        8204.79257108           -0.05586665         8204.73670444 
  3.5000e-14          359.83333350            0.00000000        8204.79257225           -0.05586898         8204.73670327 
  4.0000e-14          359.83333356            0.00000000        8204.79257361           -0.05587170         8204.73670191 
  4.5000e-14          359.83333363            0.00000000        8204.79257517           -0.05587481         8204.73670035 
  5.0000e-14          359.83333371            0.00000000        8204.79257692           -0.05587831         8204.73669860 
  5.5000e-14          359.83333379            0.00000000        8204.79257886           -0.05588220         8204.73669666 
  6.0000e-14          359.83333389            0.00000000        8204.79258100           -0.05588648         8204.73669452 
  6.5000e-14          359.83333399            0.00000000        8204.79258333           -0.05589115         8204.73669218 
  7.0000e-14          359.83333410            0.00000000        8204.79258586           -0.05589621         8204.73668965 
  7.5000e-14          359.83333422            0.00000000        8204.79258859           -0.05590166         8204.73668693 
  8.0000e-14          359.83333435            0.00000000        8204.79259151           -0.05590750         8204.73668401 
  8.5000e-14          359.83333449            0.00000000        8204.79259463           -0.05591373         8204.73668089 
  9.0000e-14          359.83333463            0.00000000        8204.79259794           -0.05592036         8204.73667758 
  9.5000e-14          359.83333478            0.00000000        8204.79260145           -0.05592737         8204.73667407 
  1.0000e-13          359.83333495            0.00000000        8204.79260515           -0.05593478         8204.73667037 
  1.0500e-13          359.83333512            0.00000000        8204.79260905           -0.05594258         8204.73666647 
  1.1000e-13          359.83333530            0.00000000        8204.79261315           -0.05595078         8204.73666237 
  1.1500e-13          359.83333549            0.00000000        8204.79261744           -0.05595936         8204.73665808 
  1.2000e-13          359.83333568            0.00000000        8204.79262193           -0.05596834         8204.73665359 
  1.2500e-13          359.83333589            0.00000000        8204.79262662           -0.05597772         8204.73664890 
  1.3000e-13          359.83333610            0.00000000        8204.79263151           -0.05598749         8204.73664401 
  1.3500e-13          359.83333633            0.00000000        8204.79263659           -0.05599766         8204.73663893 
  1.4000e-13          359.83333656            0.00000000        8204.79264187           -0.05600822         8204.73663365 
  1.4500e-13          359.83333680            0.00000000        8204.79264735           -0.05601918         8204.73662817 
  1.5000e-13          359.83333705            0.00000000        8204.79265303           -0.05603054         8204.73662249 
  1.5500e-13          359.83333730            0.00000000        8204.79265891           -0.05604229         8204.73661661 
  1.6000e-13          359.83333757            0.00000000        8204.79266498           -0.05605445         8204.73661054 
  1.6500e-13          359.83333785            0.00000000        8204.79267126           -0.05606700         8204.73660426 
  1.7000e-13          359.83333813            0.00000000        8204.79267773           -0.05607995         8204.73659778 
  1.7500e-13          359.83333842            0.00000000        8204.79268441           -0.05609330         8204.73659111 
  1.8000e-13          359.83333872            0.00000000        8204.79269129           -0.05610706         8204.73658423 
  1.8500e-13          359.83333904            0.00000000        8204.79269837           -0.05612121         8204.73657715 
  1.9000e-13          359.83333935            0.00000000        8204.79270564           -0.05613577         8204.73656987 
  1.9500e-13          359.83333968            0.00000000        8204.79271313           -0.05615073         8204.73656239 
  2.0000e-13          359.83334002            0.00000000        8204.79272081           -0.05616610         8204.73655471 
  2.0500e-13          359.83334037            0.00000000        8204.79272869           -0.05618187         8204.73654683 
  2.1000e-13          359.83334072            0.00000000        8204.79273678           -0.05619804         8204.73653874 
  2.1500e-13          359.83334108            0.00000000        8204.79274507           -0.05621463         8204.73653045 
  2.2000e-13          359.83334146            0.00000000        8204.79275357           -0.05623162         8204.73652195 
  2.2500e-13          359.83334184            0.00000000        8204.79276227           -0.05624902         8204.73651325 
  2.3000e-13          359.83334223            0.00000000        8204.79277117           -0.05626682         8204.73650435 
  2.3500e-13          359.83334263            0.00000000        8204.79278028           -0.05628504         8204.73649524 
  2.4000e-13          359.83334304            0.00000000        8204.79278959           -0.05630367         8204.73648592 
  2.4500e-13          359.83334345            0.00000000        8204.79279912           -0.05632271         8204.73647640 
  2.5000e-13          359.83334388            0.00000000        8204.79280884           -0.05634216         8204.73646668 
  2.5500e-13          359.83334432            0.00000000        8204.79281878           -0.05636203         8204.73645674 
  2.6000e-13          359.83334476            0.00000000        8204.79282892           -0.05638231         8204.73644660 
  2.6500e-13          359.83334521            0.00000000        8204.79283927           -0.05640301         8204.73643625 
  2.7000e-13          359.83334568            0.00000000        8204.79284982           -0.05642413         8204.73642570 
  2.7500e-13          359.83334615            0.00000000        8204.79286059           -0.05644566         8204.73641493 
  2.8000e-13          359.83334663            0.00000000        8204.79287157           -0.05646762         8204.73640395 
  2.8500e-13          359.83334712            0.00000000        8204.79288276           -0.05648999         8204.73639277 
  2.9000e-13          359.83334762            0.00000000        8204.79289415           -0.05651279         8204.73638137 
  2.9500e-13          359.83334813            0.00000000        8204.79290576           -0.05653600         8204.73636976 
  3.0000e-13          359.83334865            0.00000000        8204.79291758           -0.05655965         8204.73635794 
  3.0500e-13          359.83334918            0.00000000        8204.79292962           -0.05658371         8204.73634590 
  3.1000e-13          359.83334971            0.00000000        8204.79294186           -0.05660821         8204.73633366 
  3.1500e-13          359.83335026            0.00000000        8204.79295432           -0.05663313         8204.73632120 
  3.2000e-13          359.83335082            0.00000000        8204.79296700           -0.05665848         8204.73630852 
  3.2500e-13          359.83335138            0.00000000        8204.79297989           -0.05668426         8204.73629563 
  3.3000e-13          359.83335196            0.00000000        8204.79299300           -0.05671047         8204.73628253 
  3.3500e-13          359.83335254            0.00000000        8204.79300632           -0.05673712         8204.73626920 
  3.4000e-13          359.83335313            0.00000000        8204.79301986           -0.05676419         8204.73625566 
  3.4500e-13          359.83335374            0.00000000        8204.79303362           -0.05679171         8204.73624191 
  3.5000e-13          359.83335435            0.00000000        8204.79304759           -0.05681966         8204.73622793 
  3.5500e-13          359.83335497            0.00000000        8204.79306179           -0.05684805         8204.73621373 
  3.6000e-13          359.83335561            0.00000000        8204.79307620           -0.05687689         8204.73619932 
  3.6500e-13          359.83335625            0.00000000        8204.79309084           -0.05690616         8204.73618468 
  3.7000e-13          359.83335690            0.00000000        8204.79310570           -0.05693587         8204.73616982 
  3.7500e-13          359.83335756            0.00000000        8204.79312078           -0.05696604         8204.73615474 
  3.8000e-13          359.83335823            0.00000000        8204.79313608           -0.05699664         8204.73613944 
  3.8500e-13          359.83335891            0.00000000        8204.79315161           -0.05702770         8204.73612391 
  3.9000e-13          359.83335960            0.00000000        8204.79316736           -0.05705920         8204.73610816 
